content,clean_content,score,label,predicted_sentiment,platform
Pada nggak jelas sekarang makanya kurir tuh gaji jadi gerak cepat paket sampe stuck 1 minggu mana bukan sekali dua kali,tidak jelas sekarang makanya kurir tuh gaji jadi gerak cepat paket sampe stuck minggu mana bukan sekali kali,1.0,Negatif,Negatif,Shopee
Lumayan Bisa bantu belanja tanpa keluar ruamh...,lumayan bantu belanja keluar ruamh,5.0,Positif,Positif,Shopee
Mantap la ini apk ongkir murah barang berkualitas,bagus la apk ongkos kirim murah barang kualitas,5.0,Positif,Positif,Shopee
"Belanja di shopi membuat hidup lebih santai aman,karna gak perlu capek2 naik motor naik mobil,kita pesan langsung barang di antar kerumah,peralatan apapun.",belanja shopi buat hidup lebih santai aman tidak perlu capek naik motor naik mobil pesan langsung barang antar rumah alat apa,5.0,Positif,Positif,Shopee
mantap dah shopee tapi lain kali diskon nya di besarkan lagi🗿,bagus dah shopee lain kali diskon nya besar,5.0,Positif,Positif,Shopee
"Bagus, rekomended lah",bagus rekomended lah,5.0,Positif,Positif,Shopee
"tq banyak kpd apk shoope,,dpt meringankn saya buat transaksi ini itu.ya cuma limit nya gk naik2 ,pdhl pembyaran lancar gk pernah telat. dn tolong dong di tambah limit dn angsuran perbulnnya bisa sampai 12 atw 9 bulan. tq 🙏",tq banyak kpd apk shoope dpt meringankn buat transaksi itu cuma limit nya naik pdhl pembyaran lancar pernah telat dn dong tambah limit dn angsur perbulnnya sampai atw bulan tq,5.0,Positif,Positif,Shopee
Saya habis perbarui ko saya g bsa buka apk shope ya,habis baru ko tidak buka apk shope,5.0,Positif,Negatif,Shopee
Kurang suka dengan pengaturan limit spinjam yang suka berubah seenaknya sudah sampai 10jt knp turun jadi 5jt apa gunanya dan maaf sya kasih bintang 3 untuk saat ini,kurang suka atur limit spinjam suka ubah enak sampai jt knp turun jadi jt apa guna maaf sya kasih bintang saat,3.0,Netral,Netral,Shopee
Suka dngn shpe bnyk diskon potongn hrga gratis ongkir lg,suka dngn shpe bnyk diskon potongn hrga gratis ongkos kirim,5.0,Positif,Positif,Shopee
Bang aku gak mau tokopedia ini ada ikal aku mau kayak gini ikalnya hapus saja bang ok,bang aku mau tokopedia ada ikal aku mau kayak gin ikal hapus bang oke,1.0,Negatif,Netral,Tokopedia
Bebas bayaran untuk pengguna baru tapi ongkirnya tetep sesuai harga,bebas bayar guna baru ongkirnya tetep sesuai harga,3.0,Netral,Netral,Tokopedia
2 kali transaksi pesanan dibatalkan tapi voucher tidak kembali apaan bgt dah kan batal berarti voucher jg batal digunakan kecewa,kali transaksi pesan batal voucher kembali apa banget dah kan batal arti voucher batal guna kecewa,1.0,Negatif,Negatif,Tokopedia
Apabila ada klaim barang yg dikirim tdk sesuai yg diharapkan/rusak tidak ada tindak lanjut penyelesaiannya,apabila klaim barang kirim sesuai harap rusak ada tindak lanjut selesai,3.0,Netral,Netral,Tokopedia
Vocher gratong GK bisa di gabung GK kaya yang lain lain padahal dulu lebih ke tokoed sih sekarang pindah aja dulu karena makin pelitt dan mahalll di ongkir 👎👎👎,vocher gratong bisa gabung kaya lain padahal dulu lebih tokoed sih sekarang pindah dulu makin pelitt mahalll ongkos kirim,2.0,Negatif,Negatif,Tokopedia
Sangat membantu kalau lagi malas kemana mana tinggal pilih di beranda,sangat bantu kalau malas mana tinggal pilih beranda,5.0,Positif,Positif,Shopee
3 dlu krna pemula,dlu mula,3.0,Netral,Netral,Tokopedia
sangat baik,sangat baik,3.0,Netral,Positif,Tokopedia
akun saya di hack mau ganti sandi tapi ga bisa karena nomor saya sudah tidak aktif. padahal akun saya terkait dengan email masa verivikasi nya harus pakai no hp,akun di hack mau ganti sandi karena nomor sudah tidak aktif padahal akun kait email masa verivikasi nya pakai no hp,1.0,Negatif,Negatif,Tokopedia
"Bintang 2 dulu, diupdate bukanya lancar malah loading, makan data terlalu besar",bintang dulu diupdate buka lancar malah loading makan data terlalu besar,2.0,Negatif,Negatif,Tokopedia
"halo admin shopee, mohon dibantu terkait pembelian online saya, saya order pembelian hp redmi 12, tapi yang datang tidak original (Replika), saya sudah mengajukan refund/pengembalian dana ke pihak toko. saya harap anda bisa membantu masalah ini, karna ini akan merugikan banyak orang yang tidak tahu. satu lagi saya harap toko tersebut dimatikan atau di bekukan selamanya.",halo admin shopee mohon bantu kait beli online order beli hp redmi datang original replika sudah aju refund kembali dana pihak toko saya harap bisa bantu masalah karena akan rugi banyak orang yang tidak tahu satu saya harap toko sebut mati di beku lama,1.0,Negatif,Negatif,Shopee
suka pakek shopee hemat belanja dan puas,suka pakek shopee hemat belanja puas,5.0,Positif,Positif,Shopee
"Buat para reviewer smartphone, tidak perlu install benchmark, geekbench, game triple A, dll, cukup install aplikasi tokped. Aplikasi Tokopedia update terbaru sangat membantu untuk menguji seberapa powerfull chipset smartphone anda.",buat reviewer smartphone perlu install benchmark geekbench game triple a lain cukup install aplikasi tokped aplikasi tokopedia update baru sangat bantu uji berapa powerfull chipset smartphone,2.0,Negatif,Positif,Tokopedia
Tambahin Cod Lah Pembelian nol rp,tambahin bayar tempat lah beli nol rp,4.0,Positif,Positif,Tokopedia
Panen telur susah sekali dibuka...tolong diperbaiki mksh,panen telur susah sekali buka baik terima kasih,1.0,Negatif,Positif,Tokopedia
Mulai November 2022 ini voucher bebas ongkir tidak bisa lagi digabung pemakaiannya dengan voucher cashback dan jumlah voucher diskon serta cashback semakin menipis. Saatnya beralih ke aplikasi tetangga.,mulai november voucher bebas ongkos kirim bisa gabung pakai voucher cashback jumlah voucher diskon cashback makin tip saat alih aplikasi tetangga,2.0,Negatif,Negatif,Tokopedia
Shopee sangat membantu berbelanja tanpa menyita waktu kerja,shopee sangat bantu belanja sita waktu kerja,5.0,Positif,Positif,Shopee
Aplikasi yang sangat membantu untuk memudahkan orang melakukan transaksi jual beli barang online.,aplikasi sangat bantu mudah orang laku transaksi jual beli barang online,5.0,Positif,Positif,Shopee
"jadi seller dishoppi sekarang dipersulit, potongan biaya ga ngotak pengiriman spx lama ga jelas paket sering ilang, di hubungin jawaban sama semua disuruh nunggu estimasi, tetapi jika sudah lewat estimasi disuruh nunggu lagi, gada profesionalnya sama sekali gajelassssssssss",jadi jual dishoppi sekarang sulit potong biaya ngotak kirim spx lama jelas paket sering ilang hubungin jawab sama semua suruh nunggu estimasi jika lewat estimasi suruh nunggu gada profesional sama sekali gajelassssssssss,1.0,Negatif,Negatif,Shopee
Belanja murah dan hemat,belanja murah hemat,5.0,Positif,Positif,Tokopedia
mantap,bagus,4.0,Positif,Positif,Tokopedia
Insa Allah beneran ini,insa allah beneran,1.0,Negatif,Negatif,Tokopedia
Dengan adanya Shopee semua jadi muda....,ada shopee semua jadi muda,5.0,Positif,Positif,Shopee
Gak ada gratisan buat pengguna baru..kalah Sama si orange yg sllu memberikan hadiah gratis bagi pengguna baru,ada gratis buat guna baru kalah sama si orange sllu beri hadiah gratis guna baru,3.0,Netral,Netral,Tokopedia
Ok,oke,4.0,Positif,Positif,Tokopedia
"Toko pedia memberikan sesuatu yg baik,anak-anak bisa main game sambil belajar dan menjadi semangat keingin tahuannya.",toko dia beri yang baik anak anak main game ajar jadi semangat ingin tahu,3.0,Netral,Netral,Tokopedia
cocok untuk berbelanja karna banyak diskon dan juga harga murah,cocok belanja banyak diskon juga harga murah,5.0,Positif,Positif,Shopee
"Sudah beberapa kali blanja di shopee, Barang sesuai pesanan, kemasan baik/aman,pengiriman tepat waktu, kurir ramah",beberapa kali blanja shopee barang sesuai pesan kemas baik aman kirim tepat waktu kurir ramah,5.0,Positif,Positif,Shopee
Hooh tenan,hooh tenan,4.0,Positif,Positif,Tokopedia
"Di tunggu ""shopee Scheduling posts"" nya kabarin kalo dah update. Di Singapore udah ada masa di indo belom ada.",tunggu shopee scheduling posts nya kabarin kalo dah update singapore masa indo bom ada,4.0,Positif,Positif,Shopee
sangat membantu karena bisa belajar menanam dengan lahan yang terbatas,sangat bantu bisa ajar tanam lahan batas,4.0,Positif,Positif,Tokopedia
buka aplikasi kok langsung di menu live 👎,buka aplikasi kok langsung menu live,1.0,Negatif,Negatif,Shopee
Udah bayar tapi dibatalkan tokopedia . Direfund lama,bayar batal tokopedia direfund lama,1.0,Negatif,Negatif,Tokopedia
Menyebalkan,sebal,2.0,Negatif,Positif,Tokopedia
aplikasi bagus,aplikasi bagus,4.0,Positif,Positif,Tokopedia
"Lo pasang iklan gak kira2, kurang laku apa gimana aplikasinya. Njiiing",lo pasang iklan kira kurang laku apa gimana aplikasi njiiing,1.0,Negatif,Negatif,Shopee
Mana ada aneh aplikasi nya saya ngak pernah retur masak ngak bisa cod/cod cekdulu aneha,mana aneh aplikasi nya ngak pernah retur masak ngak bayar tempat bayar tempat cekdulu aneha,1.0,Negatif,Negatif,Shopee
Barang nya mahal semua . Masih murahan di shoope !,barang nya mahal semua murah shoope,1.0,Negatif,Negatif,Tokopedia
mantap,bagus,5.0,Positif,Positif,Tokopedia
"Ayolah , tingkatkan jasa pengirimannya. Kita yg di jawa tengah serasa hidup di plosok,, nunggu paketan paling cepat 3hari... Apalagi kalau beli hewan hidup, kasihan jadi lama.",ayo tingkat jasa kirim yang jawa tengah serasa hidup plosok nunggu paket paling cepat hari kalau beli hewan hidup kasihan jadi lama,3.0,Netral,Netral,Shopee
Oke banget buat belanja kebutuhan,oke banget buat belanja butuh,5.0,Positif,Positif,Shopee
Ok layanan bagus walau kadang terlambat Dan sekarang saya mau cod GK busa,oke layan bagus kadang lambat sekarang mau bayar tempat busa,5.0,Positif,Positif,Shopee
pemabayaran pake sppay gagal mulu banyak erornya,pemabayaran pake sppay gagal mulu banyak eror,1.0,Negatif,Negatif,Shopee
siip,siip,3.0,Netral,Netral,Tokopedia
Setelah membuka plaistor selanjutnya apa yg harus sy lakukan,buka plaistor lanjut apa harus laku,2.0,Negatif,Negatif,Tokopedia
Sangat memudahkan saya yang mageran ini 😍😍😍,sangat mudah yang mageran,5.0,Positif,Positif,Shopee
Mantap,bagus,4.0,Positif,Positif,Tokopedia
Ada apa dengan tokopedia sekarang. Apakah memang ongkirnya sudah naik per 1 oktober ? Biasanya saya mendapatkan ongkir hanya 15 ribu setelah dipotong gratis ongkir. Tapi sekarang naik jadi 34 ribu setelah dipotong gratis ongkir,apa tokopedia sekarang memang ongkirnya naik per oktober biasa dapat ongkos kirim ribu potong gratis ongkos kirim sekarang naik jadi ribu potong gratis ongkos kirim,2.0,Negatif,Negatif,Tokopedia
Mksa bnget iklanny,mksa bnget iklanny,1.0,Negatif,Positif,Tokopedia
Baru dowlod klo beneran natik tambahin bintangya,baru dowlod kalau beneran natik tambahin bintangya,3.0,Netral,Netral,Tokopedia
Diupdate jadi lemot tokopedia. Hadeh,diupdate jadi lot tokopedia hadeh,2.0,Negatif,Negatif,Tokopedia
nice to toko pedia,nice to toko dia,3.0,Netral,Netral,Tokopedia
Orang itu butuh barang bukan vocer!dodol,orang butuh barang bukan vocer dodol,1.0,Negatif,Negatif,Shopee
"Aplikasi kikir viewers join affiliate berbulan bulan viewers gak naek naek aneh betul aplikasi lain biasanya kalau udh aplod 3 kali sehari langsung kebaca langsung fyp ini udah 4bulan tetep aja viewers ga naek naek bahkan 1k viewers aja susah kikir banget sih saran sih tingkatin lagi sistem buat baca kontennya kasian yang udh berbulan"" Join affiliate ga fyp"" Cape juga harus aplod tapi ga fyp""",aplikasi kikir viewers join affiliate bulan bulan viewers naek naek aneh betul aplikasi biasa kalau aplod kali hari langsung baca langsung fyp sudah bulan tetep viewers naek naek bahkan k viewers susah kikir banget sih saran sih tingkatin sistem buat baca konten kasi sudah bulan join affiliate fyp cape harus aplod tidak fyp,1.0,Negatif,Negatif,Shopee
Apk paling mejing buat belanja.... Walaupun beberapa kali kena scam.. tapi banyak penjual yang amanah juga✨,apk paling mejing buat belanja walaupun beberapa kali kena scam banyak jual amanah,5.0,Positif,Positif,Shopee
pertama kali menggunakan Tokopedia semua tidak mengecewakan,pertama kali guna tokopedia semua kecewa,5.0,Positif,Positif,Tokopedia
"aplikasi shoppe oke sii, barang yang disediakan beragam. tapi saya kecewa kenapa sekarang Shopee tidak bisa ganti kurir. sekarang rata-rata pengiriman pakai shopee express , shopee standard yang mana banyak pengiriman dirumah saya lama sekali datangnya sampai saya harus telfon cs shopee berkali-kali dan ada paket yang ternyata hilang. sebenernya ini bermasalah di kurir atau memang jasa kirimnya ya ? beda kalau saya kirim ketempat kerja saya cepat dikirimnya",aplikasi shoppe oke sii barang sedia agam kecewa sekarang shopee bisa ganti kurir sekarang rata rata kirim pakai shopee express shopee standard mana banyak kirim rumah lama sekali datang telfon cs shopee kali kali ada paket nyata hilang sebenernya masalah kurir memang jasa kirim beda kalau saya kirim tempat kerja saya cepat kirim,5.0,Positif,Negatif,Shopee
"Tidak akan sulit jika mencari sesuatu,hanya di shopee yang paling mudah untuk mencari sesuatu",akan sulit cari hanya shopee paling mudah cari,5.0,Positif,Positif,Shopee
belanja makin mudah,belanja makin mudah,4.0,Positif,Positif,Tokopedia
Apk untuk belanja online sangat membantu 👍,apk belanja online sangat bantu,5.0,Positif,Positif,Shopee
"Masa ia gak dukung Ewallet untuk belanja disini, mau topup shoppepaynya juga gak ada Ewallet. tempat berbelanja terbesar tetapi gak dukung Ewallet. Jika dukung Ewallet maka aku naikan bintangnya",masa tidak dukung ewallet belanja sini mau topup shoppepaynya tidak ewallet tempat belanja besar tidak dukung ewallet dukung ewallet aku naik bintang,2.0,Negatif,Negatif,Shopee
Mantaplah,mantap,5.0,Positif,Positif,Tokopedia
Aplikasi baik sekali. Sangat memudahkan.,aplikasi baik sekali sangat mudah,5.0,Positif,Positif,Shopee
bagus,bagus,4.0,Positif,Positif,Tokopedia
Bisa gasih gausah live di tv ganggu orang nonton aja njing,gasih gausah live tv ganggu orang nonton njing,1.0,Negatif,Negatif,Shopee
kenapa harus ada biaya admin yah. di aplikasi lain seperti yang warna orange ga ada biaya admin..,harus biaya admin yah aplikasi seperti warna orange ada biaya admin,2.0,Negatif,Negatif,Tokopedia
Kenapa sekarang ribet belanja harus pake gopay bayarnya. Gak ada pilihan lain bayarnya.😔😔,sekarang ribet belanja pake gopay bayar ada pilih bayar,3.0,Netral,Netral,Tokopedia
Good,good,3.0,Netral,Netral,Tokopedia
Munculin lagi menu panen telur lah..,munculin menu panen telur lah,3.0,Netral,Netral,Tokopedia
kenapa barang saya lama sekali padahal testimani sekitar 1 - 3 hari tapi nyampainya 6 harian,barang lama sekali padahal testimani hari nyampainya hari,3.0,Netral,Netral,Tokopedia
Suka suka suka bangettt sama shoppe,suka suka suka bangettt sama shoppe,5.0,Positif,Positif,Shopee
sementara saya kasih 3 bintang dulu karena baru pertama kali pake jasa toped,saya kasih bintang dulu baru pertama kali pake jasa toped,3.0,Netral,Netral,Tokopedia
"Tolong dong jangan pakai pengiriman spx, soal nya paket tidak sampai2 paket tertahan sampai berapa hari bahkan minggu bahkan paket bisa hilang kanapa bisa pakai pengiriman yg lalot 🙏🙏 Hrg sih ok, ongkir juga oke, kualitas baguss, pengiriman yg mengecewakan sekali. 😡😡😡😡😡😡😡😡",dong jangan pakai kirim spx soal nya paket paket tahan sampai berapa hari bahkan minggu bahkan paket hilang kanapa pakai kirim lalot hrg sih oke ongkos kirim oke kualitas baguss kirim kecewa sekali,1.0,Negatif,Negatif,Shopee
Keren bisa bikin belanja jadi lebih mudah dan murah,keren bikin belanja jadi lebih mudah murah,5.0,Positif,Positif,Shopee
ok,oke,5.0,Positif,Positif,Tokopedia
Sangat mudah dan praktis,sangat mudah praktis,4.0,Positif,Positif,Shopee
"skrg tiap belanja kok muncul gojek ,jd lbh mhl dong +biaya administrasi (adm.toped,adm gojek,isi saldo jg byr, gak spt yg lain gratis adm.klo isi saldo )",skrg tiap belanja kok muncul gojek jadi lbh mhl dong biaya administrasi adm toped adm gojek isi saldo byr spt lain gratis adm kalau isi saldo,3.0,Netral,Netral,Tokopedia
"Selalu dapat harga murah dibanding ditoko kualitas bagus dan selalu dapat geratis ongkir, makasih shopee",selalu harga murah banding toko kualitas bagus selalu gerat ongkos kirim terima kasih shopee,5.0,Positif,Positif,Shopee
Semoga selalu amanah dan sukses,moga selalu amanah sukses,5.0,Positif,Positif,Shopee
Kenapa saya tidak bisa login di shope padahal akun yang saya pakai masih sama,saya bisa login shope padahal akun saya pakai sama,1.0,Negatif,Negatif,Shopee
Untuk sekarang pengiriman lelet,sekarang kirim lelet,5.0,Positif,Positif,Shopee
selama pemakaian ini bagus lancar okee,lama pakai bagus lancar okee,5.0,Positif,Positif,Shopee
"masalah nya ngapain apk shopee bekerja sama dgn expedisi spx, semua dimana mana spx selalu bermasalah....itulah lucunya kalian pengguna shoppe...",masalah nya ngapain apk shopee kerja sama expedisi spx semua mana spx selalu masalah lucu kalian guna shoppe,1.0,Negatif,Negatif,Shopee
"pelanggan baru,,,dicoba kasih 4 dulu semoga ke depannya makin banyak diskon",langgan baru coba kasih dulu moga depan makin banyak diskon,4.0,Positif,Positif,Tokopedia
"Untuk pemilihan kurir dipilih lagi ya, pesanan satu Minggu belum sampai dan tidak ada pembaruan dimana barang tersebut berada.",pilih kurir pilih yang pesan satu minggu sampai tidak baru barang sebut ada,3.0,Netral,Netral,Tokopedia
Gk repot. Pesan...barang yg cari dtg ke rumah. Gampang banget 👍,repot pesan barang cari dtg rumah gampang banget,5.0,Positif,Positif,Shopee
"Baru mau download ulang, tp liat ulasannya pada negatif. Jd ragu untuk lanjut gunakan tokped.",baru mau download ulang liat ulas negatif jadi ragu lanjut guna tokped,2.0,Negatif,Negatif,Tokopedia
lebih menyenangkan belanja di soppy,lebih senang belanja soppy,4.0,Positif,Positif,Shopee
Sangat membantu,sangat bantu,5.0,Positif,Positif,Tokopedia
Tidak bisa cairkan saldo ke akun bank BNC,bisa cair saldo akun bank bnc,1.0,Negatif,Negatif,Tokopedia
"Cocok, mantap & memudah kan",cocok bagus mudah kan,5.0,Positif,Positif,Shopee
"Maaf, kenapa ya saya memesan barang setelah saya bayar ke alfamart malah jadi dibatalkan otomatis dari tokopedia nya, gimana ini min? saya udah bayar kok dibatalkan. uang saya bagaimana kembali nya?",maaf yang mes barang bayar alfamart malah jadi batal otomatis tokopedia nya gimana min sudah bayar kok batal uang saya bagaimana nya,2.0,Negatif,Negatif,Tokopedia
Saya cuma bertanya tentang gimana caranya pengembalian refaund saya jawabnya bertele2,cuma tanya gimana cara kembali refaund jawab tele,1.0,Negatif,Negatif,Tokopedia
K dan terindah yang om sagita o mm. .k. Ni ugemm.,k indah om sagita o mm k ugemm,4.0,Positif,Positif,Tokopedia
"Mantull mantap betul shope untuk transaksi bsa semua pakai spaylater sangat terbantu, Untuk spinjam bunga ya agak mahal kalah dengan kre!!d!vo",mantull bagus betul shope transaksi semua pakai spaylater sangat bantu spinjam bunga agak mahal kalah kre d vo,5.0,Positif,Positif,Shopee
Alhmdulillah slama blanja disini gak pernah zonk... Pngalaman blanja terbaik buat saya,alhmdulillah slama blanja sini pernah zonk pngalaman blanja baik buat,5.0,Positif,Positif,Shopee
Bisa membantu klo sedang urgen ke uangan saat penting banget bayar bulan depan makasih shopy,bantu kalau sedang urgen uang penting banget bayar bulan depan terima kasih shopy,5.0,Positif,Positif,Shopee
sangat bagus dan murah,sangat bagus murah,4.0,Positif,Positif,Tokopedia
"Sekarang shopee makin keren ya.. proses pengembalian barang sangat mudah, semoga shopee makin teliti dengan toko dan produk yang tidak sesuai dengan deskripsi. Good luck 👍👍👍",sekarang shopee makin keren proses kembali barang sangat mudah moga shopee makin teliti toko produk tidak sesuai deskripsi good luck,5.0,Positif,Positif,Shopee
Suka belanja disini,suka belanja sini,5.0,Positif,Positif,Shopee
"admin shopee ini gmna saya lagi berburu flass sale kok tiba"" sistem eror ini gmna ya tolong di perbaiki🙏🙏🙏🙏",admin shopee gmna lagi buru flass sale kok tiba sistem eror gmna tolong baik,1.0,Negatif,Negatif,Shopee
Shopee nya kalo dibuka pstii keluar lagii heran semkin diupdat kok smkin ribet... pada hall aq seneng loh pke shopee... tapii gk tau knpa skrg ssh bner mo liat2 brg yg mo dibelii....,shopee nya kalo buka pstii keluar lagi heran semkin diupdat kok smkin ribet hall aq neng loh pke shopee tapi tau knpa skrg ssh bner mau liat barang mau beli,3.0,Netral,Netral,Shopee
"sudah 2x blanja di toped dngan toko yg berbeda,ststus nya masih saja diproses,bahkan smpai batal otomatis yg di tentukan.ini yg salah sistem aplikasi toped nya,atau dari toko penjual nya yg kurang merespon?",x blanja toped toko beda ststus nya saja proses bahkan smpai batal otomatis di tentu salah sistem aplikasi toped nya dari toko jual nya yang kurang merespon,2.0,Negatif,Negatif,Tokopedia
Aplikasi yang sangat membantu sekali dalam kebutuhan sehari hari,aplikasi sangat bantu sekali butuh hari hari,5.0,Positif,Positif,Shopee
Pelayanan sangatbaik,layan sangatbaik,5.0,Positif,Positif,Shopee
Tiga dulu nanti nambah,tiga dulu nambah,3.0,Netral,Netral,Tokopedia
Selama ini belanja di shopee barang yang datang belum pernah mengecewakan,lama belanja shopee barang datang pernah kecewa,5.0,Positif,Positif,Shopee
mantap,bagus,1.0,Negatif,Positif,Tokopedia
Saya senang belanja di toko pedia karna klu kita pesan barang selalu sesuai dgn yg kita inginkan,senang belanja toko dia kalau pesan barang selalu sesuai yang ingin,4.0,Positif,Positif,Tokopedia
Menginstal doank aja lama apalagi aplikasi nya gimana nya,menginstal doank lama aplikasi nya gimana nya,1.0,Negatif,Negatif,Tokopedia
Aplikasinya ok.bgt,aplikasi oke banget,4.0,Positif,Positif,Tokopedia
Punya later nga bisa di gunakan buat playlater pulsa mohon di perbaiki,punya later nga guna buat playlater pulsa mohon di baik,1.0,Negatif,Positif,Tokopedia
Terlalu sering diupdate,terlalu sering diupdate,3.0,Netral,Netral,Tokopedia
Update terlalu makan banyak memori...mending klw begini pake pc aja.,update terlalu makan banyak memori mending kalau begini pake pc,2.0,Negatif,Negatif,Tokopedia
Agag lambat,agag lambat,3.0,Netral,Netral,Tokopedia
"Tokopedia sekarang makin parah. Masak iya cuman bisa pakai salah satu voucher antara gratis ongkir sama cashback atau diskon. Sama aja bohong dong, tolong kembalikan seperti sebelumnya. Yang otomatis bisa free ongkir tanpa milih vocher ongkir, biar bisa pakai cashbacknya... ditambah lagi ada biaya adminnya",tokopedia sekarang makin parah masak iya cuman pakai salah satu voucher gratis ongkos kirim sama cashback diskon sama bohong dong kembali belum otomatis free ongkos kirim milih vocher ongkos kirim biar pakai cashbacknya tambah ada biaya adminnya,1.0,Negatif,Negatif,Tokopedia
"sangat membantu,,trimakasih toko pedia😍",sangat bantu trimakasih toko dia,4.0,Positif,Positif,Tokopedia
Keren,keren,2.0,Negatif,Positif,Tokopedia
Memudahkan saya membayar tagihan,mudah bayar tagih,4.0,Positif,Positif,Tokopedia
Apk yg bagus untuk belanja online,apk bagus belanja online,5.0,Positif,Positif,Shopee
"Sangat baik.. aplikasi tidak lemot pay latter ny lancar jaya trs shopee dan shopee pay mkin jaya produk ny bagus dan murah""👍👍👍",sangat baik aplikasi lot pay latter ny lancar jaya trs shopee shopee pay mkin jaya produk ny bagus murah,5.0,Positif,Positif,Shopee
"Spam terlalu banyak.. ayo hapus lagi, sy tulis lagi",spam terlalu banyak ayo hapus saya tulis,1.0,Negatif,Negatif,Tokopedia
lumayan bagus banyak promo,lumayan bagus banyak promosi,4.0,Positif,Positif,Tokopedia
Memudahkan urusan belanja tanpa harus keluar rumah...top shopee,mudah urus belanja harus keluar rumah top shopee,5.0,Positif,Positif,Shopee
Belanja mudah dan murah,belanja mudah murah,5.0,Positif,Positif,Shopee
memudahkan dalam berbagai hal moga ongkir nya lebih di murahin,mudah bagai moga ongkos kirim nya lebih murahin,5.0,Positif,Positif,Shopee
"Makin mantap aja layanannya, harga bersaing",makin bagus layan harga saing,5.0,Positif,Positif,Shopee
